Mass,Intensity
198.011669,0
198.01233,0
198.01299,0
198.013651,0
200.09606,0
200.096731,0
200.097402,0
200.098074,0
200.098745,0.746924
200.099416,3.276627
200.100087,6.347627
200.100758,8.197744
200.10143,7.871965
200.102101,5.0478
200.102772,1.426488
200.103443,0
200.104115,0
200.104786,0
200.105457,0
200.212226,0
200.212898,0
200.21357,0
200.214241,0
200.214913,2.83867
200.215585,6.259205
200.216257,7.845634
200.216929,7.056043
200.2176,4.2163
200.218272,1.120565
200.218944,0
200.219616,0
200.220288,0
200.220959,0
200.244475,0
200.245147,0
200.245819,0
200.246491,0
200.247163,3.983771
200.247835,9.264623
200.248507,12.504501
200.249179,13.760138
200.249851,12.710086
200.250523,9.51843
200.251195,3.84193
200.251867,0.419427
200.252539,0
200.253211,0
200.253883,0
200.254555,0
200.265307,0
200.265979,0
200.266651,0
200.267323,0
200.267995,0.952471
200.268667,4.013794
200.269339,6.938758
200.270011,7.981368
200.270683,6.9121
200.271355,4.094604
200.272027,1.109966
200.272699,0
200.273371,0
200.274044,0
200.274716,0
200.280092,0
200.280765,0
200.281437,0
200.282109,0
200.282781,0.239207
200.283453,2.957503
200.284125,6.30806
200.284797,7.95646
200.285469,6.974201
200.286142,4.04127
200.286814,1.071154
200.287486,0
200.288158,0
200.28883,0
200.289502,0
200.327821,0
200.328493,0
200.329166,0
200.329838,0
200.330511,0.340818
200.331183,3.130183
200.331855,6.344632
200.332528,8.012164
200.3332,7.471189
200.333872,4.794059
200.334545,1.382555
200.335217,0
200.33589,0
200.336562,0
200.337234,0
200.403146,0
200.403819,0
200.404492,0
200.405164,0
200.405837,0.977251
200.40651,4.193811
200.407182,7.851807
200.407855,9.593105
200.408528,8.50121
200.409201,5.090011
200.409874,1.395051
200.410546,0
200.411219,0
200.411892,0
200.412565,0
200.824267,0
200.824942,0
200.825617,0
200.826292,0
200.826967,1.045127
200.827642,4.288209
200.828316,7.937853
200.828991,10.86065
200.829666,13.401463
200.830341,13.041838
200.831016,9.821345
200.831691,6.731157
200.832366,3.650894
200.833041,0.891296
200.833715,0
200.83439,0
200.835065,0
200.83574,0
200.863415,0
200.86409,0
200.864765,0
200.86544,0
200.866115,3.123472
200.86679,7.690372
200.867465,10.269163
200.86814,9.836909
200.868815,6.719986
200.86949,2.473812
200.870165,0
200.87084,0
200.871515,0
200.87219,0
200.900548,0
200.901223,0
200.901898,0
200.902573,0
200.903249,0.078983
200.903924,2.797825
200.904599,6.083743
200.905274,7.521021
200.90595,6.192968
200.906625,3.260506
200.9073,0.79421
200.907975,0
200.908651,0
200.909326,0
200.910001,0
200.916079,0
200.916754,0
200.91743,0
200.918105,0
200.91878,0.112645
200.919456,3.106876
200.920131,6.490683
200.920806,7.798021
200.921482,6.686625
200.922157,3.451627
