Mass,Intensity
198.012039,0
198.012699,0
198.01336,0
198.014021,0
200.087044,0
200.087715,0
200.088386,0
200.089058,0
200.089729,12.485731
200.0904,34.040775
200.091071,55.191557
200.091742,61.555779
200.092413,47.023283
200.093085,21.591397
200.093756,0.354536
200.094427,0.000924
200.095098,0
200.095769,0
200.09644,0
200.097112,0
200.511209,0
200.511883,0
200.512556,0
200.513229,0
200.513903,39.29509
200.514576,114.916239
200.515249,177.133693
200.515922,194.047383
200.516596,153.419244
200.517269,64.034539
200.517942,0.247391
200.518616,0
200.519289,0
200.519962,0
200.520636,0
200.849623,0
200.850298,0
200.850973,0
200.851648,0
200.852323,7.355986
200.852998,22.661875
200.853673,34.42314
200.854348,36.809783
200.855023,30.003424
200.855698,18.659862
200.856374,0
200.857049,0
200.857724,0
200.858399,0
200.865824,0
200.866499,0
200.867174,0
200.867849,0
200.868524,43.112511
200.869199,93.974918
200.869875,119.228474
200.87055,108.389639
200.871225,71.662811
200.8719,21.055213
200.872575,0.092231
200.87325,0
200.873925,0
200.8746,0
200.875275,0
201.010366,0
201.011042,0
201.011718,0
201.012394,0
201.013069,3.256072
201.013745,9.665091
201.014421,14.262394
201.015097,13.842544
201.015773,8.505031
201.016449,2.498293
201.017124,0
201.0178,0
201.018476,0
201.019152,0
201.154388,0
201.155065,0
201.155741,0
201.156418,0
201.157094,18.449441
201.157771,41.087873
201.158447,56.462983
201.159124,53.657728
201.1598,33.896803
201.160477,10.802686
201.161153,0.141672
201.16183,0.000439
201.162507,0
201.163183,0
201.16386,0
201.164536,0
201.397479,0
201.398157,0
201.398835,0
201.399513,0
201.40019,4.683588
201.400868,13.32779
201.401546,19.191693
201.402224,19.085494
201.402901,13.229703
201.403579,4.713139
201.404257,0
201.404935,0
201.405613,0
201.40629,0
201.892469,0
201.893149,0
201.893829,0
201.894509,0
201.89519,2.794407
201.89587,9.83601
201.89655,16.124346
201.89723,18.267654
201.897911,15.39477
201.898591,9.625753
201.899271,3.483529
201.899951,0.020662
201.900632,0
201.901312,0
201.901992,0
201.902673,0
202.143714,0
202.144396,0
202.145078,0
202.145759,0
202.146441,2.807844
202.147122,8.871499
202.147804,13.501256
202.148485,14.674765
202.149167,11.661149
202.149848,4.931357
202.15053,0
202.151211,0
202.151893,0
202.152575,0
202.31352,0
202.314202,0
202.314884,0
202.315567,0
202.316249,4.07866
202.316931,11.667493
202.317614,16.360306
202.318296,15.4335
202.318979,9.493905
202.319661,2.968677
202.320344,0.019403
202.321026,0
202.321708,0
202.322391,0
202.323073,0
202.378361,0
202.379044,0
202.379726,0
202.380409,0
202.381092,2.725681
202.381775,18.143072
202.382457,34.530022
202.38314,40.239766
202.383823,31.835992
202.384506,15.159503
202.385188,0.101278
202.385871,0
202.386554,0
202.387236,0
202.387919,0
202.798194,0
202.798879,0
202.799564,0
202.800249,0
202.800934,3.187999
202.801619,9.184575
202.802303,13.288556
202.802988,13.004527
202.803673,8.54595
202.804358,2.9959
202.805043,0
202.805728,0
202.806413,0
202.807098,0
203.000371,0
203.001057,0
203.001742,0
203.002428,0
203.003114,19.086171
203.0038,60.54604
203.004486,119.291822
203.005172,159.218156
203.005858,150.64633
203.006544,100.331352
203.007229,44.883866
203.007915,15.099209
203.008601,1.803031
203.009287,0
203.009973,0
203.010659,0
203.011345,0
203.053192,0
203.053878,0
203.054564,0
203.05525,0
203.055936,2.293393
203.056623,18.99327
203.057309,32.798325
203.057995,36.56605
203.058681,27.539035
203.059367,16.155445
203.060053,11.696792
203.060739,17.019551
203.061426,17.66345
