Mass,Intensity
198.012237,0
198.012898,0
198.013558,0
198.014219,0
200.023502,0
200.024173,0
200.024844,0
200.025514,0
200.026185,2.872845
200.026856,5.214375
200.027527,6.308134
200.028198,5.833843
200.028869,4.047429
200.02954,1.156169
200.03021,0.003499
200.030881,0
200.031552,0
200.032223,0
200.032894,0
200.083219,0
200.08389,0
200.084561,0
200.085232,0
200.085903,2.851385
200.086574,5.689589
200.087246,7.016503
200.087917,6.189776
200.088588,4.005956
200.089259,0.692733
200.08993,0
200.090601,0
200.091273,0
200.091944,0
200.142962,0
200.143634,0
200.144305,0
200.144977,0
200.145648,2.851951
200.146319,5.867509
200.146991,7.402915
200.147662,6.582311
200.148334,4.016167
200.149005,0.922022
200.149677,0.002945
200.150348,0
200.15102,0
200.151691,0
200.152363,0
200.175866,0
200.176538,0
200.177209,0
200.177881,0
200.178553,2.20115
200.179224,5.265007
200.179896,7.090209
200.180567,6.376443
200.181239,3.752897
200.181911,0.86878
200.182582,0.002817
200.183254,0
200.183926,0
200.184597,0
200.185269,0
200.18594,0
200.186612,0
200.187284,3.889973
200.187955,6.502643
200.188627,7.280863
200.189299,6.132012
200.18997,3.604814
200.190642,0.201359
200.191314,0
200.191985,0
200.192657,0
200.193329,0
200.238339,0
200.239011,0
200.239683,0
200.240355,0
200.241026,8.517537
200.241698,13.566656
200.24237,15.582175
200.243042,13.338537
200.243714,7.700428
200.244386,0.367647
200.245058,0
200.24573,0
200.246402,0
200.247074,0
200.264546,0
200.265218,0
200.26589,0
200.266562,0
200.267234,2.429893
200.267906,4.823574
200.268578,5.844017
200.26925,4.95445
200.269922,0.324778
200.270594,0
200.271266,0
200.271938,0
200.27261,0
200.398348,0
200.399021,0
200.399694,0
200.400366,0
200.401039,3.431163
200.401712,5.733806
200.402384,5.949489
200.403057,4.420562
200.40373,2.119079
200.404403,0
200.405075,0
200.405748,0
200.406421,0
200.445446,0
200.446119,0
200.446792,0
200.447465,0
200.448138,2.238563
200.448811,4.62842
200.449484,5.790895
200.450157,4.946886
200.45083,2.689724
200.451503,0.344621
200.452176,0
200.452849,0
200.453522,0
200.454195,0
200.539019,0
200.539692,0
200.540366,0
200.541039,0
200.541713,2.780188
200.542386,6.102874
200.543059,8.234542
200.543733,7.850827
200.544406,5.202693
200.54508,1.216703
200.545753,0.004591
200.546427,0
200.5471,0
200.547774,0
200.548447,0
200.609073,0
200.609747,0
200.61042,0
200.611094,0
200.611768,2.611772
200.612442,4.463181
200.613115,5.434183
200.613789,5.251201
200.614463,3.728257
200.615137,0.759282
200.615811,0
200.616485,0
200.617158,0
200.617832,0
200.64007,0
200.640744,0
200.641418,0
200.642092,0
200.642766,3.362624
200.64344,6.67669
200.644114,7.921022
200.644788,6.326555
200.645461,3.129076
200.646135,0.769166
200.646809,0
200.647483,0
200.648157,0
200.648831,0
200.858601,0
200.859276,0
200.859951,0
200.860626,0
200.861301,2.810548
200.861976,5.526689
200.862651,6.796806
200.863326,5.805017
200.864002,3.121232
200.864677,0.644883
200.865352,0
200.866027,0
200.866702,0
200.867377,0
200.906537,0
200.907212,0
200.907887,0
200.908563,0
200.909238,1.519206
200.909913,4.52484
200.910589,7.16664
200.911264,7.643769
200.911939,5.66618
200.912614,2.828971
200.91329,0.657056
200.913965,0.00283
200.91464,0
200.915316,0
200.915991,0
200.916666,0
200.96665,0
200.967325,0
200.968001,0
200.968676,0
200.969352,2.790011
200.970027,5.424956
200.970703,6.504361
200.971379,5.377222
200.972054,2.795202
200.97273,0.427477
200.973405,0.001859
200.974081,0
200.974757,0
200.975432,0
200.976108,0
201.152562,0
201.153238,0
201.153915,0
201.154591,0
201.155268,0.106198
201.155944,5.404329
201.156621,18.168763
201.157297,38.446907
201.157974,56.541579
201.15865,62.56234
201.159327,53.468868
201.160003,34.526843
201.16068,16.258167
201.161356,5.918601
201.162033,1.105225
201.16271,0.005132
201.163386,0
201.164063,0
201.164739,0
201.165416,0
201.384128,0
201.384806,0
201.385484,0
201.386162,0
201.386839,2.34391
201.387517,4.831739
201.388195,6.326164
201.388872,6.022354
201.38955,4.053194
201.390228,0.980577
201.390905,0.004902
201.391583,0
201.392261,0
201.392939,0
201.393616,0
201.402427,0
201.403105,0
201.403783,0
201.40446,0
201.405138,1.813568
201.405816,5.4498
201.406494,7.957805
201.407172,8.003258
201.407849,5.68864
201.408527,2.197637
201.409205,0.004035
201.409883,0
201.410561,0
201.411238,0
201.411916,0
201.498705,0
201.499384,0
201.500062,0
201.50074,0
201.501419,22.925904
201.502097,46.078807
201.502775,57.943276
201.503453,50.713877
201.504132,29.87552
201.50481,5.139752
201.505488,0.026303
201.506167,0
201.506845,0
201.507523,0
201.508201,0
201.628315,0
201.628994,0
201.629673,0
201.630352,0
201.631031,2.443076
201.63171,4.689217
201.632389,5.583131
201.633068,5.069111
201.633747,3.366254
201.634426,0.348303
201.635105,0
201.635784,0
201.636463,0
201.637142,0
201.648684,0
201.649363,0
201.650042,0
201.650722,0
201.651401,1.701739
201.65208,4.279137
201.652759,5.752829
