Mass,Intensity
198.01228,0
198.01294,0
198.013601,0
198.014262,0
200.055078,0
200.055749,0
200.05642,0
200.057091,0
200.057762,3.222319
200.058433,5.505351
200.059104,6.080793
200.059775,4.635812
200.060446,2.290471
200.061117,0.324138
200.061788,0
200.062459,0
200.06313,0
200.063801,0
200.065143,0
200.065814,0
200.066485,0
200.067156,0
200.067827,2.528341
200.068498,4.394035
200.069169,4.884872
200.06984,3.705774
200.070512,1.639413
200.071183,0
200.071854,0
200.072525,0
200.073196,0
200.119508,0
200.120179,0
200.120851,0
200.121522,0
200.122193,2.023922
200.122865,4.01475
200.123536,5.01567
200.124207,4.366486
200.124879,2.518436
200.12555,0.489369
200.126221,0
200.126893,0
200.127564,0
200.128235,0
200.128907,0
200.129578,0
200.130249,0.441446
200.130921,6.138522
200.131592,12.258846
200.132263,15.63781
200.132935,14.152942
200.133606,8.876575
200.134278,2.365414
200.134949,0
200.13562,0
200.136292,0
200.136963,0
200.163822,0
200.164493,0
200.165165,0
200.165836,0
200.166508,2.769597
200.167179,5.171769
200.167851,6.95988
200.168522,7.786625
200.169194,7.692996
200.169866,6.614261
200.170537,4.774918
200.171209,2.382729
200.17188,0
200.172552,0
200.173223,0
200.173895,0
200.220242,0
200.220914,0
200.221586,0
200.222258,0
200.222929,0.408922
200.223601,4.099677
200.224273,7.00524
200.224945,7.898989
200.225617,6.156589
200.226289,2.876942
200.22696,0
200.227632,0
200.228304,0
200.228976,0
200.637418,0
200.638092,0
200.638766,0
200.63944,0
200.640114,2.549987
200.640788,4.545547
200.641462,5.244166
200.642135,4.206106
200.642809,2.206885
200.643483,0.122256
200.644157,0
200.644831,2.410395
200.645505,3.994124
200.646179,4.253728
200.646853,3.036176
200.647527,1.011229
200.648201,0
200.648875,0
200.649549,0
200.650223,0
200.66977,0
200.670444,0
200.671118,0
200.671792,0
200.672466,1.688645
200.67314,4.005723
200.673814,4.916383
200.674488,3.780552
200.675163,1.494787
200.675837,0
200.676511,0
200.677185,0
200.677859,2.812147
200.678533,4.409104
200.679207,4.631344
200.679881,3.409904
200.680556,1.617754
200.68123,0
200.681904,0
200.682578,0
200.683252,0
201.084295,0
201.084971,0
201.085647,0
201.086324,0
201.087,1.162218
201.087676,4.111405
201.088352,6.615238
201.089028,6.83585
201.089704,4.715002
201.090381,1.689931
201.091057,0
201.091733,0
201.092409,0
201.093086,0
201.168166,0
201.168843,0
201.169519,0
201.170196,0
201.170873,2.053013
201.171549,4.137394
201.172226,4.762283
201.172902,3.779434
201.173579,1.888466
201.174256,0
201.174932,0
201.175609,0
201.176285,0
201.258183,0
201.25886,0
201.259537,0
201.260214,0
201.260891,3.304469
201.261568,5.913377
201.262245,6.707016
201.262922,5.328836
201.263599,2.532185
201.264276,0.015525
201.264954,0
201.265631,0
201.266308,0
201.266985,0
201.287976,0
201.288653,0
201.289331,0
201.290008,0
201.290685,2.84214
201.291362,4.677336
201.292039,5.125482
201.292717,3.925162
201.293394,1.865453
201.294071,0
201.294748,0
201.295426,0
201.296103,0
201.492645,0
201.493324,0
201.494002,0
201.49468,0
201.495358,1.528593
201.496036,3.76883
201.496715,5.182147
201.497393,4.635336
201.498071,2.533642
201.498749,0.205463
201.499428,0
201.500106,0
201.500784,0
201.501463,0
201.502141,0
201.502819,3.494644
201.503497,5.678904
201.504176,6.123929
201.504854,4.376977
201.505532,1.63314
201.506211,0
201.506889,0
201.507567,0
201.508245,0
201.573379,0
201.574057,0
201.574736,0
201.575415,0
201.576093,1.617282
201.576772,3.755771
201.577451,4.832067
201.578129,4.062875
201.578808,2.122564
201.579487,0.327031
201.580165,0
201.580844,0
201.581523,0
201.582201,0
201.583559,0
201.584237,0
201.584916,0
201.585595,0
201.586273,0.917368
201.586952,3.280294
201.587631,5.506796
201.58831,6.103296
201.588988,4.68033
201.589667,2.31054
201.590346,0.306242
201.591024,0
201.591703,0
201.592382,0
201.593061,0
201.607994,0
201.608672,0
201.609351,0
201.61003,0
201.610709,1.979562
201.611388,3.607876
201.612067,4.472318
201.612745,4.017732
201.613424,2.431395
201.614103,0.308943
201.614782,0
201.615461,0
201.61614,0
201.616819,0
201.787319,0
201.787999,0
201.788679,0
201.789359,0
201.790038,2.471064
201.790718,4.869449
201.791398,6.056854
201.792078,5.078369
201.792757,2.637561
201.793437,0.371103
201.794117,0
201.794797,0
201.795476,0
201.796156,0
201.929455,0
201.930136,0
201.930816,0
201.931497,0
201.932177,2.257735
201.932858,3.575576
201.933538,4.130882
201.934218,3.53642
201.934899,2.006721
201.935579,0.355578
201.93626,0
201.93694,0
201.937621,2.160132
201.938301,4.687038
201.938982,6.217845
201.939662,5.350974
201.940343,2.749625
201.941023,0.192723
201.941704,0
201.942384,0
201.943065,0
201.943745,0
201.977094,0
201.977775,0
201.978456,0
201.979136,0
201.979817,2.370863
201.980498,4.590483
201.981178,5.840667
201.981859,5.364162
201.98254,3.433054
201.98322,0.051404
201.983901,0
201.984582,0
201.985263,0
201.985943,0
202.101716,0
202.102397,0
202.103078,0
202.10376,0
202.104441,1.775831
202.105122,5.348739
202.105804,8.036406
202.106485,7.525679
202.107166,4.226133
202.107848,0.735846
202.108529,0
202.10921,0
202.109892,0
202.110573,0
202.117387,0
202.118068,0
202.118749,0
202.119431,0
202.120112,1.28951
202.120794,3.633063
202.121475,4.811436
202.122156,4.057245
202.122838,2.070733
202.123519,0.522102
202.124201,0
202.124882,0
202.125563,0
202.126245,0
202.173272,0
202.173953,0
202.174635,0
202.175317,0
202.175999,1.146681
202.17668,5.133062
202.177362,12.238301
202.178044,23.108334
202.178725,27.00447
202.179407,23.501671
202.180089,14.887605
202.18077,6.167278
202.181452,0
202.182134,0
202.182816,0
202.183497,0
202.206678,0
202.20736,0
202.208041,0
202.208723,0
202.209405,7.442612
202.210087,10.759676
202.210769,11.385734
202.211451,9.091812
202.212133,5.439687
202.212814,0.276281
202.213496,0
202.214178,0
202.21486,0
202.215542,0
202.216224,0
202.216906,0
202.217588,0
202.218269,2.461141
202.218951,3.936966
202.219633,4.602238
202.220315,4.022866
202.220997,2.406076
202.221679,0.376898
202.222361,0
202.223043,0
202.223725,0
202.224407,0
202.416164,0
202.416847,0
202.41753,0
202.418213,0
202.418896,3.160485
202.419579,5.487391
202.420262,6.231364
202.420945,4.969567
202.421628,2.611912
202.422311,0.542487
202.422993,0
202.423676,0
202.424359,0
202.425042,0
202.50497,0
202.505654,0
202.506337,0
202.50702,0
202.507704,1.191146
202.508387,3.522547
202.50907,5.114066
202.509754,4.88434
202.510437,2.927426
202.51112,0.601256
202.511804,0
202.512487,0
202.513171,0
202.513854,0
202.551446,0
202.552129,0
202.552813,0
202.553496,0
202.55418,52.765062
202.554864,89.458424
202.555547,102.749298
202.556231,84.724908
202.556915,46.498311
202.557598,5.547454
202.558282,0
202.558965,0
202.559649,0
202.560333,0
202.564434,0
202.565118,0
202.565802,0
202.566485,0
202.567169,2.029507
202.567853,3.951245
202.568536,4.973991
202.56922,4.36899
202.569904,2.358471
202.570587,0
202.571271,0
202.571955,0
202.572638,0
202.681389,0
202.682073,0
202.682757,0
202.683441,0
202.684126,1.72295
202.68481,3.780473
202.685494,5.08773
202.686179,4.883722
202.686863,3.514148
202.687547,0.441816
202.688231,0
202.688916,0
202.6896,0
202.690284,0
202.706024,0
202.706708,0
202.707392,0
202.708077,0
202.708761,2.301617
