Mass,Intensity
198.012085,0
198.012746,0
198.013406,0
198.014067,0
200.132737,0
200.133408,0
200.13408,0
200.134751,0
200.135422,5.019459
200.136094,22.141266
200.136765,36.406115
200.137436,38.658901
200.138108,26.684881
200.138779,9.740756
200.139451,0
200.140122,0
200.140794,0
200.141465,0
200.144151,0
200.144822,0
200.145494,0
200.146165,0
200.146836,3.044318
200.147508,6.480402
200.148179,7.468962
200.148851,6.68314
200.149522,4.696797
200.150194,1.855076
200.150865,0
200.151537,0
200.152208,0
200.15288,0
200.230793,0
200.231465,0
200.232137,0
200.232809,0
200.233481,2.642726
200.234153,6.149093
200.234825,7.475355
200.235497,6.583987
200.236168,4.148936
200.23684,1.286237
200.237512,0.004143
200.238184,0
200.238856,0
200.239528,0
200.2402,0
200.259015,0
200.259687,0
200.260359,0
200.261031,0
200.261703,3.409238
200.262375,7.529759
200.263047,9.028744
200.263719,8.26248
200.264391,5.701106
200.265063,1.609166
200.265735,0
200.266407,0
200.267079,0
200.267751,0
200.365235,0
200.365907,0
200.36658,0
200.367252,0
200.367925,1.905174
200.368597,5.007684
200.36927,7.092251
200.369943,7.147468
200.370615,5.114512
200.371288,1.685858
200.37196,0.004037
200.372633,0
200.373305,0
200.373978,0
200.374651,0
200.423759,0
200.424432,0
200.425105,0
200.425777,0
200.42645,1.203203
200.427123,4.400755
200.427796,6.740886
200.428469,6.608353
200.429142,4.17668
200.429815,1.269545
200.430487,0.004437
200.43116,0.741011
200.431833,5.862902
200.432506,11.200293
200.433179,12.171777
200.433852,8.390506
200.434525,2.939779
200.435198,0
200.43587,0
200.436543,0
200.437216,0
201.152406,0
201.153082,0
201.153759,0
201.154435,0
201.155112,0.563592
201.155788,16.934973
201.156465,61.449578
201.157142,127.996749
201.157818,185.640419
201.158495,195.853112
201.159171,151.410169
201.159848,82.019746
201.160524,33.819324
201.161201,6.71708
201.161877,0.030176
201.162554,0
201.16323,0
201.163907,0
201.164584,0
201.310803,0
201.31148,0
201.312158,0
201.312835,0
201.313512,2.085842
201.31419,5.369974
201.314867,7.52512
201.315544,7.25338
201.316222,4.855278
201.316899,1.578612
201.317576,0.007502
201.318254,0
201.318931,0
201.319608,0
201.320286,0
201.354835,0
201.355513,0
201.356191,0
201.356868,0
201.357546,2.021266
201.358223,4.836527
201.358901,6.428536
201.359578,6.230939
201.360256,4.402787
201.360933,0.988919
201.361611,0
201.362289,0
201.362966,0
201.363644,0
201.459894,0
201.460572,0
201.46125,0
201.461928,0
201.462607,2.024002
201.463285,4.982582
201.463963,6.797281
201.464641,6.690617
201.465319,4.524919
201.465997,1.71674
201.466675,0
201.467353,0
201.468031,0
201.468709,0
201.694709,0
201.695389,0
201.696068,0
201.696747,0
201.697426,1.592301
201.698106,5.236852
201.698785,7.265978
201.699464,7.072614
201.700143,4.971637
201.700823,1.757632
201.701502,0.009391
201.702181,0
201.70286,0
201.70354,0
201.704219,0
201.71305,0
201.71373,0
201.714409,0
201.715088,0
201.715768,1.440029
201.716447,4.689406
