Mass,Intensity
198.012374,0
198.013035,0
198.013696,0
198.014357,0
200.122961,0
200.123632,0
200.124304,0
200.124975,0
200.125646,1.094537
200.126318,3.9904
200.126989,6.703148
200.12766,7.463999
200.128332,6.090211
200.129003,3.373269
200.129674,0.880585
200.130346,0
200.131017,0
200.131688,0
200.13236,0
200.420017,0
200.42069,0
200.421362,0
200.422035,0
200.422708,1.014681
200.423381,3.571519
200.424054,5.795806
200.424727,6.509286
200.425399,5.314858
200.426072,2.807125
200.426745,0.359781
200.427418,0
200.428091,0
200.428764,0
200.429437,0
200.554649,0
200.555322,0
200.555996,0
200.556669,0
200.557343,0.857512
200.558016,3.285209
200.55869,5.800856
200.559363,6.819946
200.560037,5.922113
200.56071,3.547379
200.561384,0.993635
200.562057,0
200.562731,0
200.563404,0
200.564078,0
200.644254,0
200.644928,0
200.645602,0
200.646276,0
200.64695,3.1205
200.647624,8.731788
200.648298,12.809137
200.648972,13.075819
200.649646,9.431211
200.65032,2.691897
200.650994,0
200.651668,0
200.652342,0
200.653016,0
200.674585,0
200.675259,0
200.675933,0
200.676607,0
200.677282,1.059654
200.677956,3.887097
200.67863,6.457371
200.679304,7.087891
200.679978,5.772515
200.680652,3.151062
200.681326,0.794775
200.682,0
200.682675,0
200.683349,0
200.684023,0
200.69481,0
200.695484,0
200.696158,0
200.696832,0
200.697507,1.387967
200.698181,4.867299
200.698855,7.64232
200.699529,7.478449
200.700203,5.198448
200.700878,2.17221
200.701552,0.106882
200.702226,0
200.7029,0
200.703575,0
200.704249,0
200.835793,0
200.836468,0
200.837143,0
200.837817,0
200.838492,3.462908
200.839167,8.524104
200.839842,11.2661
200.840517,10.428346
200.841192,6.375715
200.841867,1.402317
200.842542,0
200.843217,0
200.843892,0
200.844567,0
201.090478,0
201.091154,0
201.09183,0
201.092506,0
201.093182,0.704662
201.093859,2.498941
201.094535,4.947005
201.095211,6.02095
201.095887,5.112816
201.096564,2.540761
201.09724,0.289471
201.097916,0
201.098592,0
201.099269,0
201.099945,0
201.12091,0
201.121586,0
201.122263,0
201.122939,0
201.123616,4.143814
201.124292,7.598908
201.124968,8.122095
201.125645,5.903212
201.126321,3.918887
201.126997,4.524935
201.127674,5.991086
201.12835,6.328719
201.129027,5.349059
201.129703,3.226539
201.130379,0.833691
201.131056,0
201.131732,0
201.132409,0
201.133085,0
201.152026,0
201.152702,0
201.153379,0
201.154055,0
201.154732,8.020521
201.155409,25.782742
201.156085,83.190909
201.156762,186.65294
201.157438,289.430179
201.158115,310.518807
201.158791,236.018273
201.159468,128.831059
201.160144,49.693329
201.160821,15.445788
201.161497,3.592041
201.162174,0.03245
201.162851,0
201.163527,0
201.164204,0
201.16488,0
201.187209,0
201.187886,0
201.188562,0
201.189239,0
201.189916,0.60238
201.190593,2.794571
201.191269,5.328606
201.191946,6.392794
201.192623,5.383828
201.193299,3.08469
201.193976,0.856014
201.194653,0
201.19533,0
201.196006,0
201.196683,0
201.353777,0
201.354455,0
201.355133,0
201.35581,0
201.356488,0.88525
201.357165,3.408863
201.357843,6.021847
201.35852,6.636953
201.359198,5.457009
201.359875,2.657219
201.360553,0.051964
201.36123,0
201.361908,0
201.362586,0
201.363263,0
201.445953,0
201.446631,0
201.447309,0
201.447987,0
201.448665,0.146314
201.449343,3.806504
201.450021,6.819875
201.450699,5.857882
201.451377,3.322484
201.452055,0.864347
201.452733,0
201.453411,0
201.454089,0
201.454767,0
201.477822,0
201.4785,0
201.479179,0
201.479857,0
201.480535,1.271986
201.481213,4.381159
201.481891,6.588535
201.482569,6.566194
201.483248,4.891685
201.483926,2.478672
201.484604,0.477542
201.485282,0
201.48596,0
201.486639,0
201.487317,0
201.809849,0
201.810529,0
201.811209,0
201.811889,0
201.812569,1.066932
201.813249,4.000996
201.813928,6.717199
201.814608,7.131517
201.815288,5.258312
201.815968,2.545322
201.816648,0.59251
201.817328,0
201.818008,0
201.818688,0
201.819367,0
201.890093,0
201.890774,0
201.891454,0
201.892134,0
201.892814,1.012918
201.893495,3.818879
201.894175,6.162355
201.894855,6.670978
201.895535,5.464473
201.896216,3.129208
201.896896,0.80772
201.897576,0
201.898257,0
201.898937,0
201.899617,0
201.920708,0
201.921388,0
201.922068,0
201.922749,0
201.923429,0.625612
201.92411,3.160085
201.92479,5.534792
201.92547,6.406946
201.926151,5.434961
201.926831,3.10343
201.927512,0.823479
201.928192,0
201.928872,0
201.929553,0
201.930233,0
202.157011,0
202.157692,0
202.158374,0
202.159055,0
202.159737,3.914207
202.160418,9.62924
202.1611,11.837042
202.161782,10.952698
202.162463,7.657227
202.163145,3.114904
202.163827,0.448983
202.164508,0
202.16519,0
202.165871,0
202.166553,0
202.224504,0
202.225186,0
202.225868,0
202.22655,0
202.227232,0.321308
202.227914,2.641221
202.228596,5.338338
202.229278,6.441498
202.22996,5.291567
202.230642,2.748867
202.231324,0.652693
202.232006,0
202.232688,0
202.23337,0
202.234052,0
202.514635,0
202.515319,0
202.516002,0
202.516686,0
202.517369,1.028868
202.518052,3.666037
202.518736,5.946169
202.519419,6.528649
202.520103,5.597365
202.520786,3.427535
202.521469,0.979379
202.522153,0
202.522836,0
202.52352,0
202.524203,0
202.550177,0
202.55086,0
202.551544,0
202.552227,0
202.552911,1.913343
202.553595,4.695067
202.554278,6.273058
202.554962,5.627297
202.555645,3.306434
202.556329,0.864985
202.557013,0
202.557696,0
202.55838,0
202.559063,0
202.596668,0
202.597352,0
202.598035,0
202.598719,0
202.599403,0.853881
202.600087,3.328251
202.600771,6.202063
202.601454,7.700729
202.602138,6.943346
202.602822,4.111271
202.603506,1.100132
202.60419,0
202.604874,0
202.605558,0
202.606241,0
202.634967,0
202.635651,0
202.636335,0
202.637019,0
202.637703,1.855297
202.638387,6.489871
202.639071,10.986978
202.639755,12.355474
202.640439,8.99865
202.641123,1.95394
202.641807,0
202.642491,0
202.643175,0
202.643859,0
202.8095,0
202.810185,0
202.81087,0
202.811555,0
202.81224,3.880465
202.812925,9.873749
202.81361,13.70167
202.814295,13.698761
202.81498,9.681566
202.815665,3.385666
202.816349,0.192778
202.817034,0
202.817719,0
202.818404,0
202.819089,0
202.911587,0
202.912273,0
202.912958,0
202.913644,0
202.914329,1.20324
202.915014,4.208824
202.9157,6.651316
202.916385,7.032196
202.917071,5.663622
202.917756,3.203396
202.918442,0.861787
202.919127,0
202.919812,0
202.920498,0
202.921183,0
203.212815,0
203.213502,0
203.214189,0
203.214876,0
203.215563,0.917274
203.21625,8.874846
203.216937,23.47243
203.217624,42.593528
203.218311,141.861225
203.218998,491.939232
203.219685,1178.5276
203.220372,2009.352094
203.221059,2433.033225
203.221746,2040.580503
203.222433,1236.871826
203.22312,525.768917
203.223807,159.302129
203.224494,55.583016
203.225181,33.683139
203.225868,22.085896
203.226555,9.129331
203.227242,1.234946
203.227929,0
203.228616,0
203.229303,0
203.22999,0
203.396351,0
203.397038,0
203.397726,0
203.398414,0
203.399102,2.456064
203.39979,13.368007
203.400478,27.339133
203.401166,35.237091
203.401854,32.618004
203.402542,19.847522
203.403229,5.190408
203.403917,0
203.404605,0
203.405293,0
203.405981,0
203.586334,0
203.587023,0
203.587712,0
203.5884,0
203.589089,0.649942
203.589778,2.986799
203.590467,5.72434
203.591156,7.226593
203.591845,6.842693
203.592533,4.408854
203.593222,1.286183
203.593911,0
203.5946,0
203.595289,0
203.595978,0
203.638695,0
203.639384,0
203.640073,0
203.640762,0
203.641451,0.645835
203.64214,2.96649
203.642829,5.607891
203.643519,6.722405
203.644208,5.826778
203.644897,3.385134
203.645586,0.910711
203.646275,0
203.646964,0
203.647653,0
203.648342,0
203.786931,0
203.787621,0
203.78831,0
203.789,0
203.78969,2.587035
203.79038,7.136043
203.79107,10.212676
203.79176,10.253454
203.79245,7.129488
203.793139,2.282805
203.793829,0
203.794519,0
203.795209,0
203.795899,0
203.862145,0
203.862835,0
203.863525,0
203.864215,0
203.864906,0.823497
203.865596,4.251051
203.866286,7.73551
203.866976,8.701829
203.867667,7.516964
203.868357,4.564486
203.869047,1.067037
203.869737,0
203.870428,0
203.871118,0
203.871808,0
203.95743,0
203.95812,0
203.958811,0
203.959502,0
203.960192,0.150532
203.960883,2.860235
203.961574,6.136453
203.962265,7.527775
203.962955,6.125883
203.963646,2.695935
203.964337,0
203.965028,0
203.965718,0
203.966409,0
204.112928,0
204.11362,0
204.114312,0
204.115003,0
204.115695,0.618235
204.116386,2.841804
204.117078,5.44338
204.117769,6.731083
204.118461,6.026706
204.119152,3.62968
204.119844,1.012836
204.120535,0
204.121227,0
204.121918,0
204.12261,0
204.123301,0
204.123993,0
204.124685,0
204.125376,0.688829
204.126068,3.113507
204.126759,5.779717
204.127451,6.506442
204.128142,5.180911
204.128834,2.551845
204.129526,0.356956
204.130217,0
204.130909,0
204.1316,0
204.132292,0
204.218769,0
204.219461,0
204.220153,0
204.220846,0
204.221538,3.643904
204.22223,22.298084
204.222922,54.841939
204.223614,99.134241
204.224306,124.863555
204.224998,98.603409
204.22569,50.62884
204.226382,17.855197
204.227074,3.650319
204.227766,0.317458
204.228458,0
204.22915,0
204.229842,0
204.230535,0
204.251299,0
204.251991,0
204.252684,0
204.253376,0
204.254068,2.15104
204.25476,6.324642
204.255452,9.48419
204.256145,9.628779
204.256837,6.632543
204.257529,2.545787
204.258221,0.316757
204.258914,0
204.259606,0
204.260298,0
204.26099,0
204.531237,0
204.531931,0
204.532625,0
204.533318,0
204.534012,0.668659
204.534706,2.929447
204.535399,5.400634
204.536093,6.425577
204.536786,5.844175
204.53748,3.591658
204.538174,0.662389
204.538867,0
204.539561,0
204.540255,0
204.540948,0
204.757548,0
204.758243,0
204.758937,0
204.759632,0
204.760327,0.476789
204.761022,3.853365
204.761717,7.110513
204.762411,7.86243
204.763106,6.098286
204.763801,3.035599
204.764496,0.699757
204.765191,0
204.765885,0
204.76658,0
204.767275,0
205.003722,0
205.004418,0
205.005114,0
205.00581,0
205.006506,0.001041
205.007202,3.289171
205.007898,7.871898
205.008594,10.85981
205.00929,10.975384
205.009986,7.902987
205.010682,2.47053
205.011378,0
205.012074,0
205.01277,0
205.013467,0
205.019035,0
205.019731,0
205.020428,0
205.021124,0
205.02182,2.591454
205.022516,5.305409
205.023212,6.729366
205.023908,5.806456
205.024604,3.191188
205.0253,0.453267
205.025997,0
205.026693,0
205.027389,0
205.028085,0
205.064986,0
205.065683,0
205.066379,0
205.067075,0
205.067772,1.267489
205.068468,4.396859
205.069165,4.703563
205.069861,1.65925
205.070557,0
205.071254,0
205.07195,4.774567
205.072646,17.7553
205.073343,28.676073
205.074039,31.688604
205.074736,24.82158
205.075432,13.262146
205.076128,4.228251
205.076825,0.253868
205.077521,0
205.078218,0
205.078914,0
205.07961,0
205.097022,0
205.097719,0
205.098415,0
205.099112,0
205.099808,1.805687
205.100505,7.40978
205.101201,12.466013
205.101898,13.596587
205.102594,10.422791
205.103291,4.816113
205.103987,0.888052
205.104684,0
205.10538,0
205.106077,0
205.106774,0
205.354275,0
205.354973,0
205.355671,0
205.356369,0
205.357067,0.488682
205.357765,2.475569
205.358462,5.463817
205.35916,7.753128
205.359858,7.992563
205.360556,6.047044
205.361254,3.167442
205.361952,0.814132
205.36265,0
205.363347,0
205.364045,0
205.364743,0
205.405924,0
205.406622,0
205.40732,0
205.408018,0
205.408716,1.364361
205.409414,5.838896
205.410112,11.277371
205.410811,13.63302
205.411509,11.555808
205.412207,6.331131
205.412905,1.684112
205.413603,0
205.414301,0
205.414999,0
205.415697,0
205.427566,0
205.428264,0
205.428963,0
205.429661,0
205.430359,0.770539
205.431057,3.238003
205.431755,5.750446
205.432454,6.704539
205.433152,5.861682
205.43385,3.489028
205.434548,0.959986
205.435246,0
205.435945,0
205.436643,0
205.437341,0
205.572168,0
205.572867,0
205.573566,0
205.574265,0
205.574964,3.33653
205.575663,6.602141
205.576362,7.439461
205.577061,5.783939
205.57776,2.782375
205.578459,0.045172
205.579158,0
205.579857,0
205.580556,0
205.581255,0
205.6232,0
205.623899,0
205.624598,0
205.625297,0
205.625997,0.328138
205.626696,2.668231
205.627395,4.880936
205.628094,5.604703
205.628793,4.711932
205.629493,1.983315
205.630192,0
205.630891,0
205.63159,0
205.63229,0
205.931189,0
205.93189,0
205.932591,0
205.933292,0
205.933992,0.639018
205.934693,2.863206
205.935394,5.221252
205.936095,6.501177
205.936795,6.245449
205.937496,4.055688
205.938197,1.019179
205.938898,0
205.939599,0
205.940299,0
205.941,0
205.954316,0
205.955017,0
205.955718,0
205.956419,0
205.95712,3.455862
205.957821,10.619423
205.958522,17.185117
205.959223,19.657164
205.959924,16.723471
205.960624,10.847772
205.961325,6.599987
205.962026,5.957638
205.962727,6.38503
205.963428,5.406321
205.964129,3.066284
205.96483,0.877014
205.965531,0
205.966232,0
205.966933,0
205.967634,0
206.098774,0
206.099475,0
206.100177,0
206.100878,0
206.10158,2.466422
206.102282,5.007811
206.102983,6.200699
206.103685,5.638439
206.104387,3.529684
206.105088,1.069234
206.10579,0
206.106492,0
206.107193,0
206.107895,0
206.488724,0
206.489428,0
206.490131,0
206.490835,0
206.491538,0.623052
206.492242,2.90064
206.492946,5.948955
206.493649,7.904045
206.494353,7.680813
206.495057,5.011781
206.49576,1.258071
206.496464,0
206.497168,0
206.497871,0
206.498575,0
206.57952,0
206.580224,0
206.580928,0
206.581632,0
206.582336,0.703297
206.58304,3.242859
206.583744,6.34919
206.584448,7.970107
206.585152,7.184051
206.585856,4.375821
206.58656,1.240256
206.587265,0
206.587969,0
206.588673,0
206.589377,0
206.606277,0
206.606981,0
206.607685,0
206.60839,0
206.609094,0.638406
206.609798,3.006206
206.610502,5.992095
206.611207,7.635744
206.611911,6.982091
206.612615,4.483113
206.613319,1.570163
206.614024,0.156654
206.614728,0
206.615432,0
206.616136,0
206.616841,0
206.634448,0
206.635153,0
206.635857,0
206.636561,0
206.637266,0.185288
206.63797,2.817324
206.638674,5.633865
206.639379,6.727743
206.640083,6.182954
206.640788,3.96885
206.641492,1.168665
206.642196,0
206.642901,0
206.643605,0
206.64431,0
206.793725,0
206.79443,0
206.795135,0
206.79584,0
206.796545,3.186592
206.79725,8.07066
206.797956,10.750792
206.798661,10.323722
206.799366,7.328792
206.800071,2.944609
206.800776,0.385623
206.801482,0
206.802187,0
206.802892,0
206.803597,0
206.814176,0
206.814881,0
206.815587,0
206.816292,0
206.816997,0.556389
206.817702,2.692276
206.818408,5.354697
206.819113,6.722469
206.819818,6.298292
206.820524,3.954013
206.821229,0.870237
206.821934,0
206.82264,0
206.823345,0
206.82405,0
206.997669,0
206.998375,0
206.999082,0
206.999788,0
207.000494,0.303973
207.0012,2.127087
207.001907,4.89743
207.002613,6.961426
207.003319,7.149526
207.004025,5.00488
207.004732,1.529626
207.005438,0
207.006144,0
207.00685,0
207.007557,0
207.032278,0
207.032984,0
207.033691,0
207.034397,0
207.035104,4.834077
207.03581,26.700231
207.036516,67.187773
207.037223,110.27953
207.037929,124.006475
207.038636,85.013263
207.039342,31.158242
207.040048,0
207.040755,0
207.041461,0
207.042168,0
207.093748,0
207.094454,0
207.095161,0
207.095868,0
207.096574,0.381641
207.097281,3.599704
207.097988,6.760225
207.098695,7.402491
207.099401,5.718284
207.100108,2.729673
207.100815,0.313922
207.101522,0
207.102228,0
207.102935,0
207.103642,0
207.115657,0
207.116364,0
207.117071,0
207.117778,0
207.118484,1.405516
207.119191,4.340663
207.119898,6.860011
207.120605,7.62854
207.121312,6.464106
207.122019,3.330152
207.122726,0.688214
207.123432,0
207.124139,0
207.124846,0
207.125553,0
207.188479,0
207.189186,0
207.189893,0
207.1906,0
207.191307,0.48111
207.192015,2.534765
207.192722,5.825893
207.193429,8.302607
207.194136,8.236684
207.194843,5.340336
207.195551,1.549725
207.196258,0
207.196965,0
207.197672,0
207.19838,0
207.212525,0
207.213232,0
207.21394,0
207.214647,0
207.215354,0.451514
207.216062,3.093862
207.216769,5.447244
207.217476,6.208236
207.218184,5.322248
207.218891,3.101441
207.219598,0.896371
207.220306,0
207.221013,0
207.22172,0
207.222428,0
207.223135,0
207.223843,0
207.22455,0.890367
207.225257,3.671871
207.225965,6.08105
207.226672,6.819883
207.227379,6.347798
207.228087,4.359754
207.228794,1.363815
207.229502,0
207.230209,0
207.230916,0
207.231624,0
207.313,0
207.313708,0
207.314416,0
207.315123,0
207.315831,2.300271
207.316539,8.463508
207.317247,15.649776
207.317955,19.733595
207.318663,17.859972
207.319371,11.253301
207.320078,3.877362
207.320786,0.385926
207.321494,0
207.322202,0
207.32291,0
207.323618,0
207.509207,0
207.509916,0
207.510625,0
207.511334,0
207.512043,0.634938
207.512751,2.868374
207.51346,5.208073
207.514169,6.120548
207.514878,5.028694
207.515587,2.578998
207.516296,0.520783
207.517005,0
207.517714,0
207.518422,0
207.519131,0
207.715631,0
207.716341,0
207.717051,0
207.717761,0
207.718471,2.958184
207.719181,7.402731
207.719891,9.995408
207.720601,10.111483
207.721311,7.919621
207.722021,3.433505
207.72273,0.448931
207.72344,0
207.72415,0
207.72486,0
207.72557,0
207.775275,0
207.775985,0
207.776695,0
207.777406,0
207.778116,0.794977
207.778826,3.432093
207.779536,6.166304
207.780246,7.033069
207.780957,5.709095
207.781667,3.004737
207.782377,0.732468
207.783087,0
207.783798,0
207.784508,0
207.785218,0
207.962894,0
207.963605,0
207.964316,0
207.965027,0
207.965738,0.22786
207.96645,2.678373
207.967161,5.468701
207.967872,6.779936
207.968583,6.256025
207.969294,3.877735
207.970005,1.106428
207.970717,0
207.971428,0
207.972139,0
207.97285,0
208.063203,0
208.063915,0
208.064627,0
208.065338,0
208.06605,2.55836
208.066762,6.629344
208.067473,15.545912
208.068185,38.939099
208.068897,71.028927
208.069608,91.04667
208.07032,77.914506
208.071032,48.548012
208.071744,22.781203
208.072455,10.082687
208.073167,3.22646
208.073879,0
208.074591,0
208.075302,0
208.076014,0
208.076726,0
208.077437,0
208.078149,0.403243
208.078861,3.57212
208.079573,6.433091
208.080284,6.881515
208.080996,5.109974
208.081708,2.035069
208.08242,0
208.083132,0
208.083843,0
208.084555,0
208.226272,0
208.226985,0
208.227697,0
208.22841,0
208.229122,0.303817
208.229835,4.210631
208.230547,8.683469
208.23126,10.083085
208.231972,8.697595
208.232685,5.394314
208.233397,1.611945
208.23411,0
208.234823,0
208.235535,0
208.236248,0
208.387393,0
208.388106,0
208.388819,0
208.389533,0
208.390246,1.008946
208.39096,4.174003
208.391673,6.954518
208.392386,7.415471
208.3931,5.955053
208.393813,3.330034
208.394526,0.889438
208.39524,0
208.395953,0
208.396666,0
208.39738,0
208.589414,0
208.590128,0
208.590843,0
208.591557,0
208.592271,0.620765
208.592986,2.937024
208.5937,5.918146
208.594415,7.261083
208.595129,6.272716
208.595843,3.472153
208.596558,0.6601
208.597272,0
208.597987,0
208.598701,0
208.599415,0
208.717346,0
208.718061,0
208.718776,0
208.719491,0
208.720206,0.84767
208.720921,3.660884
208.721636,6.53586
208.722351,7.483237
208.723066,6.038468
208.723781,3.052653
208.724496,0.235417
208.725211,0
208.725926,0
208.726641,0
208.727356,0
208.925576,0
208.926292,0
208.927008,0
208.927724,0
208.92844,0.205385
208.929156,2.578937
208.929872,5.534291
208.930588,6.816625
208.931304,5.580683
208.932021,2.770339
208.932737,0.33993
208.933453,0
208.934169,0
208.934885,0
208.935601,0
209.085358,0
209.086075,0
209.086792,0
209.087509,0
209.088226,1.824554
209.088943,3.486607
209.089659,1.978535
209.090376,0
209.091093,0
209.09181,0
209.092527,0
209.109735,0
209.110452,0
209.11117,0
209.111887,0
209.112604,1.729312
209.113321,0.718938
209.114038,0
